d.cod_familiar_fam;d.fx_rfpc;nom_pessoa;num_nis_pessoa_atual;dta_nasc_pessoa;cod_parentesco_rf_pessoa;nom_completo_mae_pessoa
10000145;2;FAMILIA 145;10000000145;01/01/1985;1;MÃE 145
10000146;3;FAMILIA 146;10000000146;01/01/1985;1;MÃE 146
10000147;1;FAMILIA 147;10000000147;01/01/1985;1;MÃE 147
10000148;2;FAMILIA 148;10000000148;01/01/1985;1;MÃE 148
10000149;3;FAMILIA 149;10000000149;01/01/1985;1;MÃE 149
10000150;1;FAMILIA 150;10000000150;01/01/1985;1;MÃE 150
10000151;2;FAMILIA 151;10000000151;01/01/1985;1;MÃE 151
10000152;3;FAMILIA 152;10000000152;01/01/1985;1;MÃE 152
10000153;1;FAMILIA 153;10000000153;01/01/1985;1;MÃE 153
10000154;2;FAMILIA 154;10000000154;01/01/1985;1;MÃE 154
10000155;3;FAMILIA 155;10000000155;01/01/1985;1;MÃE 155
10000156;1;FAMILIA 156;10000000156;01/01/1985;1;MÃE 156
10000157;2;FAMILIA 157;10000000157;01/01/1985;1;MÃE 157
10000158;3;FAMILIA 158;10000000158;01/01/1985;1;MÃE 158
10000159;1;FAMILIA 159;10000000159;01/01/1985;1;MÃE 159
10000160;2;FAMILIA 160;10000000160;01/01/1985;1;MÃE 160
10000161;3;FAMILIA 161;10000000161;01/01/1985;1;MÃE 161
10000162;1;FAMILIA 162;10000000162;01/01/1985;1;MÃE 162
10000163;2;FAMILIA 163;10000000163;01/01/1985;1;MÃE 163
10000164;3;FAMILIA 164;10000000164;01/01/1985;1;MÃE 164
10000165;1;FAMILIA 165;10000000165;01/01/1985;1;MÃE 165
10000166;2;FAMILIA 166;10000000166;01/01/1985;1;MÃE 166
10000167;3;FAMILIA 167;10000000167;01/01/1985;1;MÃE 167
10000168;1;FAMILIA 168;10000000168;01/01/1985;1;MÃE 168
10000169;2;FAMILIA 169;10000000169;01/01/1985;1;MÃE 169
10000170;3;FAMILIA 170;10000000170;01/01/1985;1;MÃE 170
10000171;1;FAMILIA 171;10000000171;01/01/1985;1;MÃE 171
10000172;2;FAMILIA 172;10000000172;01/01/1985;1;MÃE 172
10000173;3;FAMILIA 173;10000000173;01/01/1985;1;MÃE 173
10000174;1;FAMILIA 174;10000000174;01/01/1985;1;MÃE 174
10000175;2;FAMILIA 175;10000000175;01/01/1985;1;MÃE 175
10000176;3;FAMILIA 176;10000000176;01/01/1985;1;MÃE 176
10000177;1;FAMILIA 177;10000000177;01/01/1985;1;MÃE 177
10000178;2;FAMILIA 178;10000000178;01/01/1985;1;MÃE 178
10000179;3;FAMILIA 179;10000000179;01/01/1985;1;MÃE 179
10000180;1;FAMILIA 180;10000000180;01/01/1985;1;MÃE 180
10000181;2;FAMILIA 181;10000000181;01/01/1985;1;MÃE 181
10000182;3;FAMILIA 182;10000000182;01/01/1985;1;MÃE 182
10000183;1;FAMILIA 183;10000000183;01/01/1985;1;MÃE 183
10000184;2;FAMILIA 184;10000000184;01/01/1985;1;MÃE 184
10000185;3;FAMILIA 185;10000000185;01/01/1985;1;MÃE 185
10000186;1;FAMILIA 186;10000000186;01/01/1985;1;MÃE 186
10000187;2;FAMILIA 187;10000000187;01/01/1985;1;MÃE 187
10000188;3;FAMILIA 188;10000000188;01/01/1985;1;MÃE 188
10000189;1;FAMILIA 189;10000000189;01/01/1985;1;MÃE 189
10000190;2;FAMILIA 190;10000000190;01/01/1985;1;MÃE 190
10000191;3;FAMILIA 191;10000000191;01/01/1985;1;MÃE 191
10000192;1;FAMILIA 192;10000000192;01/01/1985;1;MÃE 192
10000193;2;FAMILIA 193;10000000193;01/01/1985;1;MÃE 193
10000194;3;FAMILIA 194;10000000194;01/01/1985;1;MÃE 194
10000195;1;FAMILIA 195;10000000195;01/01/1985;1;MÃE 195
10000196;2;FAMILIA 196;10000000196;01/01/1985;1;MÃE 196
10000197;3;FAMILIA 197;10000000197;01/01/1985;1;MÃE 197
10000198;1;FAMILIA 198;10000000198;01/01/1985;1;MÃE 198
10000199;2;FAMILIA 199;10000000199;01/01/1985;1;MÃE 199
10000200;3;FAMILIA 200;10000000200;01/01/1985;1;MÃE 200
10000201;1;FAMILIA 201;10000000201;01/01/1985;1;MÃE 201
10000202;2;FAMILIA 202;10000000202;01/01/1985;1;MÃE 202
10000203;3;FAMILIA 203;10000000203;01/01/1985;1;MÃE 203
10000204;1;FAMILIA 204;10000000204;01/01/1985;1;MÃE 204
10000205;2;FAMILIA 205;10000000205;01/01/1985;1;MÃE 205
10000206;3;FAMILIA 206;10000000206;01/01/1985;1;MÃE 206
10000207;1;FAMILIA 207;10000000207;01/01/1985;1;MÃE 207
10000208;2;FAMILIA 208;10000000208;01/01/1985;1;MÃE 208
10000209;3;FAMILIA 209;10000000209;01/01/1985;1;MÃE 209
10000210;1;FAMILIA 210;10000000210;01/01/1985;1;MÃE 210
10000211;2;FAMILIA 211;10000000211;01/01/1985;1;MÃE 211
10000212;3;FAMILIA 212;10000000212;01/01/1985;1;MÃE 212
10000213;1;FAMILIA 213;10000000213;01/01/1985;1;MÃE 213
10000214;2;FAMILIA 214;10000000214;01/01/1985;1;MÃE 214
10000215;3;FAMILIA 215;10000000215;01/01/1985;1;MÃE 215
10000216;1;FAMILIA 216;10000000216;01/01/1985;1;MÃE 216
10000217;2;FAMILIA 217;10000000217;01/01/1985;1;MÃE 217
10000218;3;FAMILIA 218;10000000218;01/01/1985;1;MÃE 218
10000219;1;FAMILIA 219;10000000219;01/01/1985;1;MÃE 219
10000220;2;FAMILIA 220;10000000220;01/01/1985;1;MÃE 220
10000221;3;FAMILIA 221;10000000221;01/01/1985;1;MÃE 221
10000222;1;FAMILIA 222;10000000222;01/01/1985;1;MÃE 222
10000223;2;FAMILIA 223;10000000223;01/01/1985;1;MÃE 223
10000224;3;FAMILIA 224;10000000224;01/01/1985;1;MÃE 224
10000225;1;FAMILIA 225;10000000225;01/01/1985;1;MÃE 225
10000226;2;FAMILIA 226;10000000226;01/01/1985;1;MÃE 226
10000227;3;FAMILIA 227;10000000227;01/01/1985;1;MÃE 227
10000228;1;FAMILIA 228;10000000228;01/01/1985;1;MÃE 228
10000229;2;FAMILIA 229;10000000229;01/01/1985;1;MÃE 229
10000230;3;FAMILIA 230;10000000230;01/01/1985;1;MÃE 230
10000231;1;FAMILIA 231;10000000231;01/01/1985;1;MÃE 231
10000232;2;FAMILIA 232;10000000232;01/01/1985;1;MÃE 232
10000233;3;FAMILIA 233;10000000233;01/01/1985;1;MÃE 233
10000234;1;FAMILIA 234;10000000234;01/01/1985;1;MÃE 234
10000235;2;FAMILIA 235;10000000235;01/01/1985;1;MÃE 235
10000236;3;FAMILIA 236;10000000236;01/01/1985;1;MÃE 236
10000237;1;FAMILIA 237;10000000237;01/01/1985;1;MÃE 237
10000238;2;FAMILIA 238;10000000238;01/01/1985;1;MÃE 238
10000239;3;FAMILIA 239;10000000239;01/01/1985;1;MÃE 239
10000240;1;FAMILIA 240;10000000240;01/01/1985;1;MÃE 240
10000241;2;FAMILIA 241;10000000241;01/01/1985;1;MÃE 241
10000242;3;FAMILIA 242;10000000242;01/01/1985;1;MÃE 242
10000243;1;FAMILIA 243;10000000243;01/01/1985;1;MÃE 243
10000244;2;FAMILIA 244;10000000244;01/01/1985;1;MÃE 244
10000245;3;FAMILIA 245;10000000245;01/01/1985;1;MÃE 245
10000246;1;FAMILIA 246;10000000246;01/01/1985;1;MÃE 246
10000247;2;FAMILIA 247;10000000247;01/01/1985;1;MÃE 247
10000248;3;FAMILIA 248;10000000248;01/01/1985;1;MÃE 248
10000249;1;FAMILIA 249;10000000249;01/01/1985;1;MÃE 249
10000250;2;FAMILIA 250;10000000250;01/01/1985;1;MÃE 250
10000251;3;FAMILIA 251;10000000251;01/01/1985;1;MÃE 251
10000252;1;FAMILIA 252;10000000252;01/01/1985;1;MÃE 252
10000253;2;FAMILIA 253;10000000253;01/01/1985;1;MÃE 253
10000254;3;FAMILIA 254;10000000254;01/01/1985;1;MÃE 254
10000255;1;FAMILIA 255;10000000255;01/01/1985;1;MÃE 255
10000256;2;FAMILIA 256;10000000256;01/01/1985;1;MÃE 256
10000257;3;FAMILIA 257;10000000257;01/01/1985;1;MÃE 257
10000258;1;FAMILIA 258;10000000258;01/01/1985;1;MÃE 258
10000259;2;FAMILIA 259;10000000259;01/01/1985;1;MÃE 259
10000260;3;FAMILIA 260;10000000260;01/01/1985;1;MÃE 260
10000261;1;FAMILIA 261;10000000261;01/01/1985;1;MÃE 261
10000262;2;FAMILIA 262;10000000262;01/01/1985;1;MÃE 262
10000263;3;FAMILIA 263;10000000263;01/01/1985;1;MÃE 263
10000264;1;FAMILIA 264;10000000264;01/01/1985;1;MÃE 264
10000265;2;FAMILIA 265;10000000265;01/01/1985;1;MÃE 265
10000266;3;FAMILIA 266;10000000266;01/01/1985;1;MÃE 266
10000267;1;FAMILIA 267;10000000267;01/01/1985;1;MÃE 267
10000268;2;FAMILIA 268;10000000268;01/01/1985;1;MÃE 268
10000269;3;FAMILIA 269;10000000269;01/01/1985;1;MÃE 269
10000270;1;FAMILIA 270;10000000270;01/01/1985;1;MÃE 270
10000271;2;FAMILIA 271;10000000271;01/01/1985;1;MÃE 271
10000272;3;FAMILIA 272;10000000272;01/01/1985;1;MÃE 272
10000273;1;FAMILIA 273;10000000273;01/01/1985;1;MÃE 273
10000274;2;FAMILIA 274;10000000274;01/01/1985;1;MÃE 274
10000275;3;FAMILIA 275;10000000275;01/01/1985;1;MÃE 275
10000276;1;FAMILIA 276;10000000276;01/01/1985;1;MÃE 276
10000277;2;FAMILIA 277;10000000277;01/01/1985;1;MÃE 277
10000278;3;FAMILIA 278;10000000278;01/01/1985;1;MÃE 278
10000279;1;FAMILIA 279;10000000279;01/01/1985;1;MÃE 279
10000280;2;FAMILIA 280;10000000280;01/01/1985;1;MÃE 280
10000281;3;FAMILIA 281;10000000281;01/01/1985;1;MÃE 281
10000282;1;FAMILIA 282;10000000282;01/01/1985;1;MÃE 282
10000283;2;FAMILIA 283;10000000283;01/01/1985;1;MÃE 283
10000284;3;FAMILIA 284;10000000284;01/01/1985;1;MÃE 284
10000285;1;FAMILIA 285;10000000285;01/01/1985;1;MÃE 285
10000286;2;FAMILIA 286;10000000286;01/01/1985;1;MÃE 286
10000287;3;FAMILIA 287;10000000287;01/01/1985;1;MÃE 287
10000288;1;FAMILIA 288;10000000288;01/01/1985;1;MÃE 288
10000289;2;FAMILIA 289;10000000289;01/01/1985;1;MÃE 289
10000290;3;FAMILIA 290;10000000290;01/01/1985;1;MÃE 290
10000291;1;FAMILIA 291;10000000291;01/01/1985;1;MÃE 291
10000292;2;FAMILIA 292;10000000292;01/01/1985;1;MÃE 292
10000293;3;FAMILIA 293;10000000293;01/01/1985;1;MÃE 293
10000294;1;FAMILIA 294;10000000294;01/01/1985;1;MÃE 294
10000295;2;FAMILIA 295;10000000295;01/01/1985;1;MÃE 295
10000296;3;FAMILIA 296;10000000296;01/01/1985;1;MÃE 296
10000297;1;FAMILIA 297;10000000297;01/01/1985;1;MÃE 297
10000298;2;FAMILIA 298;10000000298;01/01/1985;1;MÃE 298
10000299;3;FAMILIA 299;10000000299;01/01/1985;1;MÃE 299
10000300;1;FAMILIA 300;10000000300;01/01/1985;1;MÃE 300
10000301;2;FAMILIA 301;10000000301;01/01/1985;1;MÃE 301
10000302;3;FAMILIA 302;10000000302;01/01/1985;1;MÃE 302
10000303;1;FAMILIA 303;10000000303;01/01/1985;1;MÃE 303
10000304;2;FAMILIA 304;10000000304;01/01/1985;1;MÃE 304
10000305;3;FAMILIA 305;10000000305;01/01/1985;1;MÃE 305
10000306;1;FAMILIA 306;10000000306;01/01/1985;1;MÃE 306
10000307;2;FAMILIA 307;10000000307;01/01/1985;1;MÃE 307
10000308;3;FAMILIA 308;10000000308;01/01/1985;1;MÃE 308
10000309;1;FAMILIA 309;10000000309;01/01/1985;1;MÃE 309
10000310;2;FAMILIA 310;10000000310;01/01/1985;1;MÃE 310
10000311;3;FAMILIA 311;10000000311;01/01/1985;1;MÃE 311
10000312;1;FAMILIA 312;10000000312;01/01/1985;1;MÃE 312
10000313;2;FAMILIA 313;10000000313;01/01/1985;1;MÃE 313
10000314;3;FAMILIA 314;10000000314;01/01/1985;1;MÃE 314
10000315;1;FAMILIA 315;10000000315;01/01/1985;1;MÃE 315
10000316;2;FAMILIA 316;10000000316;01/01/1985;1;MÃE 316
10000317;3;FAMILIA 317;10000000317;01/01/1985;1;MÃE 317
10000318;1;FAMILIA 318;10000000318;01/01/1985;1;MÃE 318
10000319;2;FAMILIA 319;10000000319;01/01/1985;1;MÃE 319
10000320;3;FAMILIA 320;10000000320;01/01/1985;1;MÃE 320
10000321;1;FAMILIA 321;10000000321;01/01/1985;1;MÃE 321
10000322;2;FAMILIA 322;10000000322;01/01/1985;1;MÃE 322
10000323;3;FAMILIA 323;10000000323;01/01/1985;1;MÃE 323
10000324;1;FAMILIA 324;10000000324;01/01/1985;1;MÃE 324
10000325;2;FAMILIA 325;10000000325;01/01/1985;1;MÃE 325
10000326;3;FAMILIA 326;10000000326;01/01/1985;1;MÃE 326
10000327;1;FAMILIA 327;10000000327;01/01/1985;1;MÃE 327
10000328;2;FAMILIA 328;10000000328;01/01/1985;1;MÃE 328
10000329;3;FAMILIA 329;10000000329;01/01/1985;1;MÃE 329
10000330;1;FAMILIA 330;10000000330;01/01/1985;1;MÃE 330
10000331;2;FAMILIA 331;10000000331;01/01/1985;1;MÃE 331
10000332;3;FAMILIA 332;10000000332;01/01/1985;1;MÃE 332
10000333;1;FAMILIA 333;10000000333;01/01/1985;1;MÃE 333
10000334;2;FAMILIA 334;10000000334;01/01/1985;1;MÃE 334
10000335;3;FAMILIA 335;10000000335;01/01/1985;1;MÃE 335
10000336;1;FAMILIA 336;10000000336;01/01/1985;1;MÃE 336
10000337;2;FAMILIA 337;10000000337;01/01/1985;1;MÃE 337
10000338;3;FAMILIA 338;10000000338;01/01/1985;1;MÃE 338
10000339;1;FAMILIA 339;10000000339;01/01/1985;1;MÃE 339
10000340;2;FAMILIA 340;10000000340;01/01/1985;1;MÃE 340
10000341;3;FAMILIA 341;10000000341;01/01/1985;1;MÃE 341
10000342;1;FAMILIA 342;10000000342;01/01/1985;1;MÃE 342
10000343;2;FAMILIA 343;10000000343;01/01/1985;1;MÃE 343
10000344;3;FAMILIA 344;10000000344;01/01/1985;1;MÃE 344
10000345;1;FAMILIA 345;10000000345;01/01/1985;1;MÃE 345
10000346;2;FAMILIA 346;10000000346;01/01/1985;1;MÃE 346
10000347;3;FAMILIA 347;10000000347;01/01/1985;1;MÃE 347
10000348;1;FAMILIA 348;10000000348;01/01/1985;1;MÃE 348
10000349;2;FAMILIA 349;10000000349;01/01/1985;1;MÃE 349
10000350;3;FAMILIA 350;10000000350;01/01/1985;1;MÃE 350
10000351;1;FAMILIA 351;10000000351;01/01/1985;1;MÃE 351
10000352;2;FAMILIA 352;10000000352;01/01/1985;1;MÃE 352
10000353;3;FAMILIA 353;10000000353;01/01/1985;1;MÃE 353
10000354;1;FAMILIA 354;10000000354;01/01/1985;1;MÃE 354
10000355;2;FAMILIA 355;10000000355;01/01/1985;1;MÃE 355
10000356;3;FAMILIA 356;10000000356;01/01/1985;1;MÃE 356
10000357;1;FAMILIA 357;10000000357;01/01/1985;1;MÃE 357
10000358;2;FAMILIA 358;10000000358;01/01/1985;1;MÃE 358
10000359;3;FAMILIA 359;10000000359;01/01/1985;1;MÃE 359
10000360;1;FAMILIA 360;10000000360;01/01/1985;1;MÃE 360
10000361;2;FAMILIA 361;10000000361;01/01/1985;1;MÃE 361
10000362;3;FAMILIA 362;10000000362;01/01/1985;1;MÃE 362
10000363;1;FAMILIA 363;10000000363;01/01/1985;1;MÃE 363
10000364;2;FAMILIA 364;10000000364;01/01/1985;1;MÃE 364
10000365;3;FAMILIA 365;10000000365;01/01/1985;1;MÃE 365
10000366;1;FAMILIA 366;10000000366;01/01/1985;1;MÃE 366
10000367;2;FAMILIA 367;10000000367;01/01/1985;1;MÃE 367
10000368;3;FAMILIA 368;10000000368;01/01/1985;1;MÃE 368
10000369;1;FAMILIA 369;10000000369;01/01/1985;1;MÃE 369
10000370;2;FAMILIA 370;10000000370;01/01/1985;1;MÃE 370
10000371;3;FAMILIA 371;10000000371;01/01/1985;1;MÃE 371
10000372;1;FAMILIA 372;10000000372;01/01/1985;1;MÃE 372
10000373;2;FAMILIA 373;10000000373;01/01/1985;1;MÃE 373
10000374;3;FAMILIA 374;10000000374;01/01/1985;1;MÃE 374
10000375;1;FAMILIA 375;10000000375;01/01/1985;1;MÃE 375
10000376;2;FAMILIA 376;10000000376;01/01/1985;1;MÃE 376
10000377;3;FAMILIA 377;10000000377;01/01/1985;1;MÃE 377
10000378;1;FAMILIA 378;10000000378;01/01/1985;1;MÃE 378
10000379;2;FAMILIA 379;10000000379;01/01/1985;1;MÃE 379
10000380;3;FAMILIA 380;10000000380;01/01/1985;1;MÃE 380
10000381;1;FAMILIA 381;10000000381;01/01/1985;1;MÃE 381
10000382;2;FAMILIA 382;10000000382;01/01/1985;1;MÃE 382
10000383;3;FAMILIA 383;10000000383;01/01/1985;1;MÃE 383
